pair_1	pair_2	r	relatedness	within.deg.relatedness
g1-b1-i1	g1-b2-i1	0	Unrelated	NA
g1-b1-i1	g1-b3-i1	0	Unrelated	NA
g1-b1-i1	g2-b1-i1	0.5	First	Parental
g1-b1-i1	g2-b1-s1	0	Unrelated	NA
g1-b1-i1	G2-B1-S1	0	Unrelated	NA
g1-b1-i1	g2-b2-i1	0.5	First	Parental
g1-b1-i1	g2-b2-s1	0	Unrelated	NA
g1-b1-i1	g2-b3-i1	0	Unrelated	NA
g1-b1-i1	g3-b1-i1	0.25	Second	Gd-Parental
g1-b1-i1	g3-b2-i1	0.25	Second	Gd-Parental
g1-b2-i1	g1-b3-i1	0	Unrelated	NA
g1-b2-i1	g2-b1-i1	0.5	First	Parental
g1-b2-i1	g2-b1-s1	0	Unrelated	NA
g1-b2-i1	G2-B1-S1	0	Unrelated	NA
g1-b2-i1	g2-b2-i1	0.5	First	Parental
g1-b2-i1	g2-b2-s1	0	Unrelated	NA
g1-b2-i1	g2-b3-i1	0.5	First	Parental
g1-b2-i1	g3-b1-i1	0.25	Second	Gd-Parental
g1-b2-i1	g3-b2-i1	0.25	Second	Gd-Parental
g1-b3-i1	g2-b1-i1	0	Unrelated	NA
g1-b3-i1	g2-b1-s1	0	Unrelated	NA
g1-b3-i1	G2-B1-S1	0	Unrelated	NA
g1-b3-i1	g2-b2-i1	0	Unrelated	NA
g1-b3-i1	g2-b2-s1	0	Unrelated	NA
g1-b3-i1	g2-b3-i1	0.5	First	Parental
g1-b3-i1	g3-b1-i1	0	Unrelated	NA
g1-b3-i1	g3-b2-i1	0	Unrelated	NA
g2-b1-i1	g2-b1-s1	0	Unrelated	NA
g2-b1-i1	G2-B1-S1	0	Unrelated	NA
g2-b1-i1	g2-b2-i1	0.5	First	Siblings
g2-b1-i1	g2-b2-s1	0	Unrelated	NA
g2-b1-i1	g2-b3-i1	0.25	Second	Half-Siblings
g2-b1-i1	g3-b1-i1	0.5	First	Parental
g2-b1-i1	g3-b2-i1	0.25	Second	Avuncular
g2-b1-s1	G2-B1-S1	1	Self	Twins
g2-b1-s1	g2-b2-i1	0	Unrelated	NA
g2-b1-s1	g2-b2-s1	0	Unrelated	NA
g2-b1-s1	g2-b3-i1	0	Unrelated	NA
g2-b1-s1	g3-b1-i1	0.5	First	Parental
g2-b1-s1	g3-b2-i1	0	Unrelated	NA
G2-B1-S1	g2-b2-i1	0	Unrelated	NA
G2-B1-S1	g2-b2-s1	0	Unrelated	NA
G2-B1-S1	g2-b3-i1	0	Unrelated	NA
G2-B1-S1	g3-b1-i1	0.5	First	Parental
G2-B1-S1	g3-b2-i1	0	Unrelated	NA
g2-b2-i1	g2-b2-s1	0	Unrelated	NA
g2-b2-i1	g2-b3-i1	0.25	Second	Half-Siblings
g2-b2-i1	g3-b1-i1	0.25	Second	Avuncular
g2-b2-i1	g3-b2-i1	0.5	First	Parental
g2-b2-s1	g2-b3-i1	0	Unrelated	NA
g2-b2-s1	g3-b1-i1	0	Unrelated	NA
g2-b2-s1	g3-b2-i1	0.5	First	Parental
g2-b3-i1	g3-b1-i1	0.125	Third	Half-Avuncular
g2-b3-i1	g3-b2-i1	0.125	Third	Half-Avuncular
g3-b1-i1	g3-b2-i1	0.125	Third	Cousins
